"Firstseen (UTC)";"Threat";"Malware";"Host";"URL";"Status";"Registrar";"IP address(es)";"ASN(s)";"Country"
"2017-05-09 10:57:30";"Payment Site";"Cerber";"hjhqmbxyinislkkt.17kc8y.top";"http://hjhqmbxyinislkkt.17kc8y.top";"offline";"Eranet International Limited";"127.0.0.1";"0";""
"2017-05-09 10:09:46";"Distribution Site";"Cerber";"4rebaopfgrewe.top";"http://4rebaopfgrewe.top/search.php";"offline";"Eranet International Limited";"";"";""
"2017-05-08 20:10:11";"Payment Site";"Cerber";"hjhqmbxyinislkkt.13ydzv.top";"http://hjhqmbxyinislkkt.13ydzv.top";"offline";"Eranet International Limited";"127.0.0.1";"0";""
"2017-05-07 21:00:09";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.1hkjl3.top";"http://p27dokhpz2n7nvgr.1hkjl3.top";"offline";"Eranet International Limited";"127.0.0.1";"0";""
"2017-05-07 20:18:30";"Payment Site";"Cerber";"hjhqmbxyinislkkt.1fgsmc.top";"http://hjhqmbxyinislkkt.1fgsmc.top";"offline";"Eranet International Limited";"127.0.0.1";"0";""
"2017-05-07 00:49:53";"Payment Site";"Cerber";"hjhqmbxyinislkkt.12m58x.top";"http://hjhqmbxyinislkkt.12m58x.top";"offline";"Eranet International Limited";"127.0.0.1";"0";""
"2017-05-06 10:56:51";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.16nxpn.top";"http://p27dokhpz2n7nvgr.16nxpn.top";"offline";"Eranet International Limited";"127.0.0.1";"0";""
"2017-05-06 10:23:07";"C2";"Sage";"mbfce24rgn65bx3g.eho23d.net";"http://mbfce24rgn65bx3g.eho23d.net";"offline";"PAKNIC (PRIVATE) LIMITED";"";"";""
"2017-05-06 06:52:19";"Payment Site";"Cerber";"hjhqmbxyinislkkt.127axt.top";"http://hjhqmbxyinislkkt.127axt.top";"offline";"Eranet International Limited";"127.0.0.1";"0";""
"2017-05-05 15:42:50";"Payment Site";"Cerber";"p27dokhpz2n7nvgr.133chr.top";"http://p27dokhpz2n7nvgr.133chr.top";"offline";"Eranet International Limited";"127.0.0.1";"0";""
"2017-05-05 10:56:49";"Distribution Site";"Cerber";"37kddsserrt.xyz";"http://37kddsserrt.xyz/search.php";"offline";"PDR Ltd. d/b/a PublicDomainRegistry.com";"";"";""
"2017-05-05 10:56:47";"Distribution Site";"Cerber";"poimoiyreque5.pw";"http://poimoiyreque5.pw/search.php";"unknown";"PDR Ltd. d/b/a PublicDomainRegistry.com";"";"";""
